Kata,Noun,Verb,Adjektiva,Adverb
selisih,"beda,jarak,kacek,kelainan,pautan,perbedaan,tikai,saldo,sisa",,,
selisik,,"singkap,usut",,
selit,,"selip,sisip,susup",,
seliwer,,"berkelintaran,bersimpang-siur,bolak-balik,hilirmudik,kian,kemari,kolang-kaling,lalu,lalang,lalu,lintas,melangsir,,mencoangcoang,menggelintar,mondar-mandir",,
selokan,"apuran,bandar,comberan,got,parit,pelimbahan,riol,siring,anak,air,bandar,lungkang,saluran,,serokan,tali,air",,,
selongsong,"belongsong,kelongsong,kerosong,bungkus,lapis,salut,saput,sarung,selaput,selubung,ulas,berangus",,,
selonjor,,"berlunjur,menganjur",,
selop,"kelompen,sandal,seleper",,,
seloroh,"banyolan,canda,cumbu,cura,garah-garah,gurauan,kecandan,kelakar,olok-olok,senda-gurau,banyolan,bebodoran,dagelan,humor,komedi,lelucon",,,
seluar,"celana,lancing,serawal",,,
selubung,"kelumun,berguk,cadar,kerudung,layah,purdah,selir,tudung",,,
seluk,,"mencekuh,menceluk,merogoh,merosok",,
seluk,,"belit,lilit,belok,kelok",,
seluk,"hal,ihwal,kerumitan,komplikasi",,,
selulosa,"fiber,serat",,,
selundup,,"bersesaran,menjelanak,menyamar,menyebuk,menyelam,menyelinap,menyeluduk,menyeruyuk,menyunam,menyuruk,menyusup,berakar,masuk,melesap,mendalam,menyelap,menyerap,menyusup,merasuk,merembes,meresap,menghunjam,menjunam,menukik",,
seluruh,,,,
selusur,,"melorot,meluncur,menggelincir,menggelongsor,merosot",,
selusur,"kelek-kelek,langkan,loneng,susur,tangan,tangan-tangan",,,
semai,"benih,bibit,ipukan,redih,tampang",,,
semak,"belukar,samun",,,
semalu,"daun,hidup,kejut-kejut,putri",,,
semampai,,,"ampai,cengkek,lampai,langkai,langsing,lanjai,lengkai,linggayuran,merunjau,ramping,renceng,rigai,sanjai,saring",
semampang,,,,
semangat,"antusiasme,api,,dorongan,energi,gairah,gelora,,intensitas,motivasi,nafsu,spirit,vitalitas,batin,jiwa,kehidupan,psike,roh,sukma,karakter,sifat,temperamen,watak,arti,intensi,keinginan,maksud,substansi,atmosfer,nada,suasana,",,,
semangka,"mendikai,tembikai",,,
semaput,"hilang,semangat,kolaps,,murca,terlengar,pingsan",,,
semarai,,,"berbelah,berkembang,merekah,terbuka",
semarak,"cahaya,gemerlap,seri",,,
semat,"biting,jarum,lidi,peniti",,,
semayam,,"mendudukkan,membaringkan,menginapkan,",,
sembah,"khidmat,hormat,puja",,,
sembahyang,"ibadah,ekaristi,doa,kebaktian,misa,pemujaan,sakramen,salat",,,
sembap,,,"balut,bengkak,sembam",
sembarang,,,"acak,arbitrer,manasuka,rambang,rawak,sebarang,serampangan,sewenang-wenang,sukarela",
sembari,,,,
sembelih,,"jagal,gorok,potong",,
sembilu,"selumbar,suban",,,
sembir,"bibir,pinggir,rusuk,tepi,tubir",,,
sembir,,"melenceng,membias,menyimpang",,
semboyan,"cogan,moto,pemeo,slogan,2sandi,alamat,anggai,isyarat,sinyal,tanda",,,
sembrono,,,"cak,awut-awutan,ceroboh,gegabah,kurang,ingat,rusuh,seenaknya,sembarangan,serampangan,sia-sia,silap,mata,teledor,aco-acoan,balik,adab,bergajulan,kurang,adab,kurang,ajar,leler,lucah,slebor,",
sembuh,,"membaik,pulih,segar,sehat,uras,waras",,
sembul,,"keluar,menajuk,menjengul,menongol,menonjol,menyempal,menyumbur,merojol,mongkok,muncul,tepercul,tersentil,tersongel,timbul,membuntang,mencongol,mengembol,menjendul,menjungkar,menonjol,belodok,tepersil,terbancut,terbudur,terjojol,bodong,bujal,membersil",,
sembunyi,,umpet,,
sembur,,"bura,embusan,tiup",,
semburat,,"bercahaya,berseri,bersinar",,
semen,"emas,biru",,,
semenanjung,"ancol,jazirah,tanjung",,,
semenjak,,,,
semenjana,,,"madya,medium,menengah,sedang",
sementara,,,,
semerbak,,"menyebar,merebak,meruak,meruap",,
semesta,,,,
semi,"recup,taruk,tunas",,,
seminar,,,"berkilap,berkilauan,bersinarsinar,bersinau-sinau,cemerlang,gemerlap",
seminar,"kolokium,konferensi,kongres,sidang,simposium",,,
semiologi,semiotika,,,
semiotika,"ilmu,lambang,semiologi",,,
semir,"minyak,lincir,minyak,mesin,minyak,pelumas,ki,uang,suap",,,
semoga,,,,"hendaknya,moga-moga,mudah-mudahan"
sempadan,"batas,padan,pinggir,sembiran,tapal,batas,tepi",,,
sempal,,"bujal,keluar,mencagun,menjengul,menongol,menyembul,muncul,tepercul,terpacul,timbul,membelam,mengganjal,menjejalkan,menumpat,menyumbat,menyumpal",,
sempal,,"kupak,patah,pukah,serkah",,
sempat,,,"luang,senggang",
sempil,,"menyelat,menyelip,menyelit,menyisip,menyusup",,
sempit,,,"ketang,ketat,kincup,sendat,sesak,sepan,,terik,sumpek,kecil,kopet,mepet,sedikit,ki,cetek,cupet,dangkal,kurang,pikir,parokial,provinsial,kerdil,pendek,akal,picik,sempit,mata,suntuk",
sempoyongan,,,"terhuyung-huyung,terkemut-kemut,tersendeng-sendeng",
semprit,"pelesit,peluit,pupu",,,
semprong,"corong,salung,asap,berumbung,buluh-buluh,cerobong,salung,api,teropong,keker,,teropong",,,
semprot,"ki,bentakan,injeksi,suntikan",,,
sempurna,,,"afdal,akmal,cukup,genap,jangkap,kafi,kamal,kamil,komplet,lengkap,paripurna,sidi,tamam,utuh,ideal,perfek,prima,transenden,utama,beres,selesai,tuntas",
semrawut,,,"acak-acakan,awut-awutan,berantakan,berpesai-pesai,bersepah,bongkar-bangkir,centang,perenang,ceraiberai,colak-caling,kacau-balau,kalut,kalut-malut,kalut-maruk,kelut-melut,keruntang-pungkang,kibang-kibut,kocar-kacir,kusut,lalu,lalang,malangmelintang,menyemak,morat-marit,porak-parik,porak-poranda,ricut,roceh,rondah-randih,ropak-rapik,ruwet,serabutan,silang,selimpat,tersara,bara",
semu,,,"imajiner,khayal,maya,kuasi,palsu,pseudo,pura-pura",
semu,,,,"agak,rada,sedikit"
semua,,,,
sekalian,,,,"belaka,seluruhnya,semata"
semut,"ki,angin,,kelik-kelik,serangga",,,
senak,,,"begah,kembung,sambau,sangih,segah,senuh,ki,gundah,lara,masygul,menyernak,menyesak,pilu,sedih,susah,kojoh,,sebak,tergenang",
senam,gimnastik,,,
senandung,"dendang,gita,irama,kidung,lagu,nyanyian,sekar,tembang",,,
senang,,,"aman,bahagia,bangga,berbungabunga,,berkenan,bungah,camar,ceria,doyan,enak,gemar,gembira,girang,lapang,dada,lega,makmur,meriah,nikmat,nyaman,puas,ria,riang,sejahtera,semarak,selesa,suka,sukacita,sukaria,tenang,tenteram",
senantiasa,,,,"berkelaluan,malar,nyalar,selalu,selamanya,sinambung,terus-menerus,tetap,tunak"
senapan,bedil,,,
senapati,"jenderal,komandan,panglima",,,
senarai,"daftar,lis,indeks",,,
senat,"badan,legislatif,dewan,perwakilan,kongres",,,
senda,"banyolan,canda,cumbu,cura,garah-garah,gurauan,kecandan,kelakar,lawak,olok-olok,seloroh",,,
sendal,"alas,bantalan,endasan,galang,ganjal,lapik,lepek,sarapan",,,
sendang,"mata,air,perigi,sumber,air,telaga",,,
sendat,,,"ketat,sempit,sesak,terik,macet,serat,seret,lambat,payah,alot,berkepanjangan,lanjut,liat,sulit",
sendawa,"kalium,nitrat,salpeter",,,
sendi,"alas,asas,basis,batu,tapakan,dasar,fondasi,fundamen,lunas,pilar,pokok,prinsip,rukun,sakaguru,tumpuan",,,
sendi,"artikulasi,buku,kunci,persendian,gelang-gelang,kelikir,kili-kili,simpai",,,
sendiri,,,"seorang,diri,sorangan,,terkoteng-koteng,mufrad,singular,tunggal,independen,mandiri,otonom,swapraja,swasembada,swatantra,otomatis",
sendok,"cikok,sudip,sudu,tanjur",,,
sendok,"bedudak,beludak,dumung,kobra,tedung",,,
sendu,,,"duka,dukacita,lara,pilu,sedih,sedu",
seng,"ayan,besi,putih,timah,sari",,,
sengaja,,,,"asa,sahaja"
sengal,,,tersengal-sengal,
sengap,,"berdiam,diri,diam,mematung,membatu,,membisu,membungkam,tutup,mulut,hening,lengang,sepi,senyap,sunyi,tenang",,
sengat,"antup,sundak,tandik",,,
sengau,"anuswara,nasal",,,
senggak,,"bentak,hardik",,
senggang,,,"anggal,lapang,lega,lengang,longgar,lowong,luang,sempat",
senggol,,"sentuh,singgung",,
sengguk,,"melenggut,mengangguk,menganggut,menanduk,menyeruduk,menyundul",,
sengguk,,"mengesak,terisakisak,tersedan-sedan,tersedu-sedan,tersedu-sedu,tersengut-sengut",,
sengit,,,"dahsyat,hebat,seru,tegang,berbisa,cempala,mulut,cencala,keras,lancang",
sengkarut,,"berjalinan,berjalin-jalin,berjerait,berkelindan,berselirat,berselit-selit,bersimpul-simpul,simpang,siur,berangkaian,bergandengan,berhubungan,berkaitan,berpautan,bersambungan,bertalian,bertautan",,
sengkelit,,mendesak,,
sengketa,"bentrokan,cedera,friksi,kelahi,konflik,konfrontasi,perbalahan,pergesekan,perselisihan,pertengkaran,pertentangan,pertikaian,kasus,perkara",,,
sengsara,"kesusahan,mala,penderitaan,siksa",,,
siksa,,,"menderita,ripuh,sarit,sulit,susah",
sengsem,,,"gandrung,jatuh",
seni,"kecakapan,keterampilan,talenta,kapabilitas,kompetensi",,,
seni,,,"halus,kecil,lembut,subtil",
seniman,artis,,,
senior,,,superior,
senioritas,"kesenioran,pengutamaan,prioritas",,,
senja,"burit,magrib,petang,sore,tunggang",,,
senjang,,,"genjang,pincang,timpang,berbeda,berlawanan,bertentangan,divergen,kontradiktif",
senonoh,,,"elok,etis,laik,layak,pantas,patut,sesuai,sopan,wajar",
sensasi,"cerapan,impresi,persepsi,kecabuhan,kecaburan,kegaduhan,kegemparan,kehebohan,keonaran,skandal",,,
sensasional,,,"dramatis,impresif,menggemparkan,menghebohkan,spektakuler",
sensibel,,,"kasar,kasatmata,materiel,fisis,jasmaniah,ragawi,substansial,logis,masuk,akal,membumi,,praktis,rasional,realistis,konsekuen",
sensibilitas,"kepekaan,sensitivitas",,,
sensitif,,,"liabel,peka,rawan,rentan,suseptibel,terbuka,terdedah,perseptif,reaktif,reseptif,responsif,tanggap,lampas,perasa,temperamental,halus",
sensitivitas,"kepekaan,sensibilitas",,,
sensor,"pemeriksaan,penapisan,pengawasan",,,
sensus,"banci,cacah",,,
sentak,,"cabut,hunus,tarik",,
sentak,,"hardik,renggut",,
senter,baterai,,,
senter,"pusat,sentral,tengah",,,
sentil,,"mementil,mengetis,menjentik,menyelentik,menyentuh,menyinggung,ki,menegur,memberi,tahu,membilangi,,menasihati,menyiangi",,
sentil,,"tersembul,tersongel",,
sentimen,"afeksi,emosi,hati,perasaan,2",,,
sentimental,,,"romantis,emosional",
sentong,"bilik,kamar,ruang",,,
sentosa,,,"aman,damai,makmur,nyaman,raharja,sejahtera,selamat,tenang,tenteram,salam",
sentral,,,"esensial,fundamental,induk,,jantung,,kunci,,pokok,primer,utama,pumpunan,pusat,senter,sentra,sentrum,tengah",
sentralisasi,"konsentrasi,pemfokusan,pemusatan",,,
sentuh,,"jamah,singgung",,
sentuk,,"terantuk,terbentur,terbentus,tersampuk,tertarung,tertumbuk",,
senyap,,,"antap,hening,lengang,mati,nyenyat,ranah,sepi,sirep,sunyi,tenang",
senyum,"mesam-mesem,seringai",,,
sepah,"ampas,pungkur,residu,sempelah",,,
sepak,,"melampang,melapuk,menabok,menampar,mencentang,menempeleng,menepik,menepuk,menggampar,menggaplok,menimbuk",,
sepak,"depakan,tendangan,terjangan",,,
sepakat,,,"akur,asese,,sependapat,sependirian,setuju",
separa,"sebagian,separuh,setengah",,,
separasi,"pemecahan,pemisahan,penceraian",,,
separatisme,"kedaerahan,otonomi,provinsialisme",,,
sepat,,,"kelat,perat",
sepatu,"ladam,tapal,kuda",,,
sepeda,"besikal,kereta,angin,pit,roda",,,
sepeda,"motor,automatik,motor,bebek,motor,besar,motor,gede,sespan,skuter,vespa",,,
sepele,,,"daif,encer,enteng,kecil,remeh,rendah,sepi,sipil,,gampang,mudah,ringan",
seperti,,,,
sepi,,,"antap,hening,lengang,mati,nyenyat,ranah,senyap,sirep,sunyi,tenang,adem",
sepoi,,,"bersilir-silir,perlahanlahan,silir-semilir",
septet,"sajak,tujuh,seuntai",,,
septima,septet,,,
sepuh,"sadur,pewarna",,,
sepuh,,,"berumur,gaek,,jompo,lanjut",
sepur,"kereta,api",,,
serabut,"bulu,rambut,sabut,serat",,,
serah,,"pasrah,beri",,
serak,,,"parau,pecah,sember,sumbang",
serak,,"memencar,menghambur,menyebar",,
serakah,,,"angkara,gelojoh,kemaruk,,lahap,loba,muris,rakus,tamak,temaah",
seram,,,"angker,menakutkan,menyengkak",
serambi,"beranda,emper,geladeri,selasar,sengkuap,tepas,teras,peron,atrium,rongga,dada",,,
serampang,,"hantam,kromo,,main,tubruk,,membabi,buta,menceracam,mengacak,mengawur,merambang,merampus,merawak,merawang,merodok,rucah,cak,memapas,menelan,,mengambil,menjarah,menyabet,menyerobot,menyikat,merayah",,
serang,,"serbu,terjang",,
seranta,,"memberitahukan,mengawamkan,mengumumkan,menyebarluaskan,menyiarkan",,
serap,,"melesap,menerus,mengabsorb,menyelundup,menyusup,merembes,meresap,menembus,mengisap,mencarak,mencerup,mencucup,mencucut,menghirup,menyedot,menyeropot,menyeruput,menyesap,menampung,menerima,memungut,berakar,masuk,mendalam,menyelap,merasuk",,
serapah,"kutuk,laknat,seranah,sumpah,tulah",,,
serasi,,,"asri,cocok,harmonis,seimbang,selaras,sepadan,sepasang,setimpal,sinkron",
serat,"fiber,serabut",,,
serat,,,"macet,sendat,seret",
serba,,,"aneka,macam,aneka,ragam,pancaragam,rupa-rupa,warnawarni",
serban,ubel-ubel,,,
serbat,bandrek,,,
serbet,"lap,makan",,,
serbu,,"serang,terjang",,
serbuk,"abuk,bubuk,talk,tepung,puyer",,,
serdadu,"militer,prajurit,sena,tentara,pejuang",,,
serdawa,"atop,tahak",,,
seremoni,"formalitas,ritual,upacara",,,
seremonial,,,"formal,resmi,ritualistis",
serempak,,,,"berbarengan,berbetulan,bersamaan,bertepatan,sekaligus,serentak,sewaktu,simultan,sinkron,beramai-ramai,bersama-sama"
serempet,,"mengantuk,mengenai,menggoleng,menyenggol,menyentuh,menyinggung,menyipi,menyisir",,
serengeh,,"berkumut,mengerenyot,mengereseng,mengernyih,menyengih,menyeringai,meringis,pringaspringis",,
serentak,,,"berbarengan,serempak,sewaktu,simultan,sinkron,kontan,,langsung,refleks,serta,merta,spontan",
serep,"cadangan,persediaan,reserve,simpanan",,,
seret,,,"tersendat-sendat,serat",
seret,,"hela,tarik",,
sergah,"bentakan,hentakan",,,
sergap,,"gerebek,serang,serbu,sergah",,
seri,"cahaya,semarak,kemuliaan,pa",,,
seri,,,"balui,pulik,remis,sama,kuat,seimbang",
seri,"gandengan,rangkaian",,,
serial,,,"berantai,bersambungan,berturutturut,berurutan,konsekutif",
serikat,"konsorsium,perkongsian,sindikat,kongsi,maskapai,persekutuan,dagang,perseroan,serikat,dagang,kawan,sekutu",,,
sering,,,,"acap,kerap,ada,kalanya,kadang-kadang,kadang,kala,sekali-sekali,sekali,waktu,sesekali,sewaktu-waktu,suka-suka,tempo-tempo,terkadang"
seringai,"kereseng,kernyih,serengit",,,
serius,,,"benar-benar,betul-betul,khusyuk,mendalam,sungguh-sungguh,tekun,berat,berbahaya,darurat,gawat,genting,kritis,rawan,sulit,tegang,penting,substansial,akut,berat,biut,keras,,kronis,lajat,lasat,parah,payah",
serobot,,"curi,langgar,rampas,tubruk",,
seroja,"lotus,padma,teratai,tunjung",,,
serok,"cedok,ciduk,sauk",,,
serong,,,"bengot,benyot,erot,genjang,melenceng,menceng,mencong,menyimpang,miring,pesong,sayung,ki,culas,curang,lancung,main,kayu,ki,patgulipat,se",
seronok,,,"enak,mengasyikkan,menyenangkan,ria,riang,sedap,menarik,meriah",
serpih,serpihan,,,
serta,,,,
serta,,beserta,,
serta-merta,,,"kontan,,langsung,refleks,serentak,spontan",
sertifikat,"akta,brevet,lisensi,sijil,surat",,,
sertu,,bersuci,,
seru,seruan,,,
seru,,,"dahsyat,hebat,sengit",
seruak,,"retas,tembus,terobos",,
seruduk,,"seluduk,tanduk",,
seruling,"bangsi,suling",,,
seruput,,"hirup,isap,seropot",,
serut,ketam,,,
server,peladen,,,
servis,"bantuan,jasa,ladenan,layanan",,,
sesak,,,"ketang,ketat,sempit,terik,asak,berlebih,padat,pekat,penuh,pudat,sebu,tumpat,sumpek,pengap,senak,sendat",
sesal,"kecewa,rasa,bersalah,sayang",,,
sesap,,isap,,
sesat,,,"menyimpang,salah,jalan,batil,keliru,salah,sumbang",
sesi,"babak,bagian,pusingan,putaran,tahap,pertemuan,rapat,sidang",,,
set,"babak,putaran,ronde",,,
set,,"atur,atak,tata",,
set,"pasang,peranggu,perangkat,satuan,setel",,,
setagen,"angkin,bengkung,kendit,setagi,sabuk",,,
setan,"belis,demon,iblis,dedemit,hantu,lelembut",,,
setanggi,kemenyan,,,
setel,"pasang,peranggu,perangkat,satuan,set",,,
setel,,"atur,pasang,putar",,
setem,,,"cak,harmonis,rampak,selaras",
seteru,"lawan,musuh,oponen,rival,saingan",,,
setia,,,"loyal,patih,patuh,taat,tunak,disiplin,menurut,wafa,teguh",
setia,,,solider,
setiga,"sajak,tiga,seuntai,terzina",,,
setik,jengkal,,,
setik,jahitan,,,
setip,penghapus,,,
setip,"kejang-kejang,sawan",,,
setir,kemudi,,,
setor,,"memasukkan,membayar,mengumpulkan,menyerahkan",,
setrap,hukuman,,,
setruk,carik,,,
setrum,"cak,elektrik,listrik",,,
setrup,"air,gula,sirop",,,
sewa,"carter,kontrak",,,
sewot,,,"berang,geram,gusar,makan",
sewu,seribu,,,
sia-sia,,,"gagal,kandas,rusak,buang,waktu,gagal,lancut,mengecewakan,mubazir,omong,kosong,percuma,rugi,terbengkalai,gegabah,sembarangan,sembrono,serampangan",
siaga,,,"prayitna,siap,sedia,waspada",
sial,,,"apes,buntung,,geruh,jentaka,lacur,langkah,kidal,langkah,kiri,,nahas,puntung,rengsa,sarau,sebal,sewal,udi",
siang,"tengah,hari",,,
siang,,,"bersih,terang",
siap,,"beres,jadi,kelar,,mustaid,rampung,selesai,ada,cawis,tersedia",,
siap,,,"prayitna,siaga,waspada",
siapa,,,,
siar,,"melansir,melewarkan,memaklumkan,memberitakan,mencanangkan,menebarkan,mengabarkan,mengembarkan,menggemakan,mengumumkan,merilis,meluaskan,memberaiberaikan,menyebarkan,memancar1",,
siasat,"akal,daya,kiat,kunci,,muslihat,rahasia,resep,taktik,trik,percaturan",,,
siasat,"aniaya,hukuman,siksa",,,
sibak,,"belah,cerai,pisah",,
sibar-sibar,"capung,sepatung,sibur-sibur",,,
sibuk,,,"aktif,berperan,giat,repot,ripuh",
sidang,"majelis,forum,musyawarah,kolokium,konferensi,kongres,konvensi,persamuhan,pertemuan,rapat,seminar,sesi",,,
sidik,,"periksa,selidik",,
sidik,,,"benar,jujur",
sifar,,,"kosong,nol",
sifat,"bawaan,fiil,hati,karakter,kelakuan,kepribadian,perangai,personalitas,semangat,tabiat,temperamen,watak",,,
sigap,,,"akas,bergas,cakap,campin,cekatan,cergas,galir,gancang,gapah,gesit,giat,jeraus,langkas,lincah,pantas,sebat,tangkas,terampil,trengginas",
sigar,"cerutu,lisong,serutu",,,
sigi,"obor,suluh",,,
signifikan,,,"bena,berarti,bermakna,istimewa,penting,relevan,substansial,bernas,kaya",
signifikansi,"arti,makna,cerapan,pemahaman,penerimaan,pengertian,sangkutan",,,
signifikasi,"denotasi,konotasi,pengertian,signifikansi",,,
sih,,,,
sihir,"guna-guna,jantur,magi,pesona,tenung",,,
sikap,"aksi,gajak,gerak-gerik,kelakuan,perbuatan,perilaku,tabiat,takah,telatah,tindakan,tingkah,laku,ulah,gaya,pose",,,
sikap,,,sigap,
sikat,,,,
sikejut,"daun,hidup,kejut-kejut,putri",,,
siklon,"angin,langkisau,angin,limbubu,angin,puyuh,punca,beliung,puting,beliung,tembeliung,,tornado",,,
siklus,"daur,peredaran",,,
siksa,"aniaya,azab,hukuman,ikab",,,
siku,"sendi,tangan,sikut,bucu,penjuru,pukang,sudut,ujung,gagang,bedil,pangkal,bedil,popor,tampuk,tangkai",,,
sikut,"sendi,tangan,siku",,,
sila,,,,
sila,,"bersimpuh,duduk",,
sila,"adab,adat,akhlak,etik,moral,nilai",,,
silabel,"suku,kata",,,
silabus,"kompendium,kurikulum,program,studi",,,
silam,,,"dahulu,lalu,lampau,tinggal,gelap,gulita,kelam,redup,suram,tenggelam,terbenam,hilang,lenyap,musnah,penyap,pupus,sirna",
silang,"palang,salib",,,
silap,,,"salah,lihat",
silat,pencak,,,
silaturahmi,"persahabatan,persaudaraan",,,
silau,,,"serang,silap,mata,ki,kagum,takjub,terpesona,terpukau,tertarik",
silih,,,,saling
silinder,"bumbung,tabung,torak",,,
silir,,,bersilir-silir,
silsilah,"aluran,asal,usul,salasilah,silahsilah,sulalah,susur,galur",,,
siluet,"kontur,profil,bayangan,bayangbayang,bentuk",,,
siluman,"gadungan,jadi-jadian",,,
simak,,"memerhatikan,mencerap,mengikuti,mempelajari,menelaah,meneliti,mengkaji",,
simbar,"bulu,dada",,,
simbol,"ikon,karakter,lambang,logo,markah,representasi,sinyal,tanda",,,
simbolis,,,"alegoris,asosiatif,figuratif,konotatif,metaforis",
simbolisme,alegori,,,
simbur,,"menciprati,menyemprot,menyimbah",,
simetri,"balans,harmoni,keseimbangan,keselarasan,keserasian,keteraturan,proporsi",,,
simetris,,,"harmonis,proporsional,seimbang,selaras,teratur",
simile,"analogi,kias,metafor,tamsil",,,
simpai,"bingkai,birai,lis,rangka,gelanggelang,kelikir,kili-kili,sendi,simpai,temin",,,
simpan,,"menabung,menahan,mencadangkan,menyediakan,menyisihkan,menaruh,menempatkan",,
simpan,,,"pendek,ringkas,singkat,beres,kemas,rapi",
simpang,"cabang,cagak,silang",,,
subversif,,"mengalicau,mengelak,mengelik,mengelis,mengelit,menggelek,menggelicik,menghindar,menyisi",,
simpang-siur,,,"berantakan,centang-perenang,kacau,kisruh,kocar-kacir,morat-marit,semrawut,berselit-selit,bersengkarut,kusut",
simpati,"afeksi,afinitas,belas,kasih,empati,iba,nuraga,patos,pengertian,sayang,syafakat,tenggang,rasa,timbang,rasa",,,
simpatik,,,"bersahabat,hangat,ramah,reseptif,menarik,menawan",
simpatisan,"partisan,pendukung,suporter",,,
simpel,,,"cak,biasa,elementer,lugu,naif,polos,sederhana,enteng,gampang,mudah",
simpleks,,,sederhana,
simplifikasi,penyederhanaan,,,
simplistis,,,"naif,sederhana,simpel",
simposium,"konferensi,pertemuan,seminar",,,
simptom,"gejala,gelagat,indikasi,isyarat,pertanda,petunjuk,sinyal,tanda-tanda",,,
simpuh,bersimpuh,,,
simpuk,,"melanggar,menabrak,menubruk,menumbuk,menyampuk",,
simpul,"bundel,buhul,ikatan,punding",,,
simulasi,,,"ecek-ecek,imitasi,replikasi,tiruan",
simultan,,,"berbarengan,berbetulan,bersama-sama,serempak,serentak",
sinambung,,"berlanjut,bersambung,kontinu,terus-menerus",,
sinar,"binar,cahaya,kirana,nur,pendar",,,
sinar-seminar,,bersinar-sinar,,
sindikasi,"perkongsian,persekutuan",,,
sindikat,"konsorsium,perkongsian,serikat",,,
sindir,sindiran,,,
sinema,"bioskop,film,gambar,hidup,komidi,gambar",,,
sinetron,"drama,lakon,sandiwara,teater,tonil",,,
singa,"raja,hutan,raja,rimba",,,
singgah,,"mampir,mengadar",,
singgasana,"geta,takhta,kedudukan,kursi",,,
singgung,,"desak,sodok,tolak,jamah,senggol,sentuh,kena",,
singkap,,"buka,kuak,sibak",,
singkat,,,"kecil,mini,pendek,sedikit,sempit,sebentar,sekejap,kompak,ringkas,simpan,sontok,sumir,",
singkir,,"meminggir,menepi,menyisih,menghindari,meninggalkan,menjauhi,berpindah,berevakuasi,mengungsi,menyelamatkan,diri",,
singkong,"kaspe,ketela,pohon,ubi,kayu",,,
singlet,"kaus,dalam",,,
singset,,,"langsing,ramping,erat,kencang,ketang,ketat,kuat,rapat,santung",
singsing,,"menyingsingkan,ki,terbit,hirap,lenyap,menyisih",,
singular,,,"mufrad,tunggal,individual,partikular,sendiri,soliter,solo,unik",
singularitas,"idiosinkrasi,individualitas,kesendirian,keunikan",,,
sinis,,,"karikatural,satiris",
sinkron,,,"berbarengan,serempak,serentak,simultan,bertemu,cocok,harmonis,klop,,masuk,,selaras,sesuai",
sinkronisasi,"penyerentakan,harmonisasi,koordinasi,penyelarasan,penyerasian",,,
sinonim,"muradif,padanan,kata,sandingan",,,
sinopsis,"abstrak,ikhtisar,rangkuman,ringkasan,skenario",,,
sinoptik,,,"ringkas,singkat",
sinse,"tabib,cina",,,
sintaksis,"gramatika,tata,kalimat,paramasastra,nahu",,,
sintesis,"campuran,fusi,paduan,senyawa",,,
sintetis,,,"artifisial,bikinan,buatan,imitasi,tiruan",
sinting,,,"bertukar,akal,berubah,akal,edan,gendeng,gila,majenun,miring,,sakit",
sinus,rongga,,,
sinyal,"lambang,simbol,tanda,alamat,bakat,faal,gejala,gelagat,indikasi,padahan,pelebaya,pertanda,petunjuk,riak,,semboyan,simptom,tanda-tanda",,,
sinyalemen,"isyarat,peringatan,petunjuk,sinyal,tengara",,,
sinyalir,,"menengarai,memperingatkan,mengisyaratkan,menunjukkan",,
sip,,,"cak,aman,nyaman,pasti,terjamin,afdal,asyik,enak,mantap",
sipil,,,"awam,biasa,kebanyakan,publik,cak,enteng,gampang,kecil,mudah,remeh,sederhana,sepele",
sipir,"penjaga,penjara",,,
sipu,,,,malu
siput,keong,,,
sir,"gaib,rahasia,tersembunyi",,,
sir,"hasrat,keinginan,nafsu",,,
sira,,,,
sirah,"endas,kepala,mustaka",,,
siram,,"curah,guyur",,
sirap,,"membuka,menguak,mengungkapkan,menyibakkan,menyingkapkan,ki,memanas-manasi,membakar,,membangkitkan,marah,memberangaskan,menghasut,mengoja,,mengompori,,meradangkan",,
sirep,"aji-aji,cuca,jampi-jampi,mantra,pesona",,,
sirih,"kinang,serasa",,,
sirik,,,"panas,hati",
siring,"comberan,got,riol,selokan",,,
siring,tepi,,,
sirip,"kepet,radai",,,
sirkam,sisir,,,
sirkuit,"gelanggang,lingkaran,peredaran,perkisaran,perputaran,revolusi,rotasi,sirkulasi",,,
sirkulasi,"peredaran,perputaran,revolusi,rotasi,sirkuit,aliran,arus,diseminasi,distribusi,persebaran",,,
sirna,,,"amblas,,bablas,buyar,gaib,habis,hanyut,,hapus,hilang,hirap,lelap,lenyap,lucut,menggelap,mengirap,menguap,meresap,musnah,penyap,perlina,pudar,pupus,putus,silam,terbang,",
sirsak,"nangka,belanda",,,
sirop,"setrup,sirup",,,
sisa,"abu,ampas,bekas,cerih,cirit,endap-endap,pungkur,sempuras,tinggalan,baki,kelebihan,renceh,restan,,saldo,selisih",,,
sisi,"bidang,muka,segi,iringan,lambung,rusuk,samping,bagian,paksa,pihak,sayap,sebelah,bibir,,gisik,pinggir,tepi",,,
sisih,,"hindar,pisah,singkir",,
sisip,,"menyelat,menyelip,menyelit,menyempil,menyela,menisik,menjerumat",,
sisir,"sirkam,sikat,,garu",,,
sisir,,"susur,telusur",,
sisir,,"kesisipan,tercocok,tersengsam,tertusuk",,
sistem,"bentuk,komposisi,koordinasi,orde,organisasi,pola,skema,struktur,strata,cara,metode,modus,operandi,praktik,teknik,prosedur",,,
sistematika,"penataan,pengaturan",,,
sistematis,,,"analitis,bersistem,investigatif,logis,metodis,regular,runtut,teratur,terorganisasi,terpadu,terstruktur,tersusun,tertata,tertib",
