Kata,Noun,Verb,Adjektiva,Adverb
alun-alun,,"bergelombang,bergelora,beriak,berikal,,berkerut-kerut,berketak,berombak-ombak",,
alun-alun,"arena,gelanggang,kawasan,lapangan,medan,padang,tanah,lapang,tanah,luas",,,
alur,"anak,sungai,ceruk,dasar,,galur,jejak,paluh,parit,runtut,tali,air,terusan,air,uring,jalan,cerita,plot,aturan,jalan",,,
alwah,"gaharu,tengkaras",,,
amal,"jasa,kebaikan,kebijakan,derma,fitrah,infak,pemberian,sedekah,sumbangan,zakat",,,
aman,,,"bahagia,damai,hening,jernih,,lega,reda,rukun,sejahtera,senang,sentosa,tenang,tenteram,selamat,sip,,terjaga,terjamin,terlindung,tersembunyi,mantap,meyakinkan,pasti",
amanah,,,"baik,benar,tepercaya,ikhlas,jujur,lurus,lurus,akal,lurus,hati,mukhlis,mustakim,sadik,tulus,hati,tulus,ikhlas",
amanat,"amar,arahan,instruksi,mandat,nasihat,peninggalan,perintah,permintaan,pesan,suruhan,titah,titipan,wasiat,wejangan,ajaran,keterangan,nasihat,pemberitahuan,petuah,hikmah,makna,moral,pelajaran",,,
amandel,"tekak,tonsil",,,
amarah,"kemarahan,kemurkaan,nafsu",,,
amat,,,,"banget,,benar,benar-benar,berlebihan,besar,betul-betul,kelewat"
amat,,"melihat,memandangi,memantau,memata-matai,memerhatikan,memeriksa,memindai,memonitor,mempelajari,menatap,meneliti,mengawasi,mengikuti,menginvestigasi,mengobservasi,menilik,menjelang,menyelidiki,menyidik,menyoroti,mempelajari,mendalami,menelaah,meneliti,mengkaji,meninjau,menjelajahi,,menyelidiki,menyimak",,
ambah-ambah,"pes,sampar",,,
ambai,,"bercucuran,berderai,berhamburan,berjelejehan,berlelehan,berlinang,bersibaran,bertetesan,memercik-mercik,mencicik,menciprat,mengalir,menitik,menitis,merebak,sabak,serembah-serembih",,
ambal,"gelaran,guderi,hamparan,kain,karpet,katifah,lapik,matras,permadani,serampin,tikar,tilam",,,
ambal,,"berarak-arak,berdefile,berkirab,berkonvoi,berparade,berpawai",,
ambang,"alang,belan,kayu,palang,lawa,rimbat,sengkang,ki,babak,fase,periode,stadium,tahap,taraf,tingkat",,,
ambang,,"melayang-layang,terapung-apung,terjumbuljumbul,terkatung-katung",,
ambasador,"aryaduta,duta,besar,mahaduta",,,
ambau,,"terjun,ki,angkat",,
ambeien,"bawasir,hemoroid,puru,sembelit,wasir",,,
ambek,,,"aseran,baran,darah",
amben,"balai-balai,bangku,dipan,tapang",,,
ambet,"bebat,lampin,pembalut,pembarut,pembelit,pengikat,popok",,,
ambigu,,,"enigmatis,problematis,samar,taksa",
ambiguitas,"ketaksaan,kemaknagandaan",,,
ambil,,"cabut,capai,cedok,curi,jangkau,jiplak,jolok,kait,kebas,kutip,nukil,pegang,petik,pungut,rampas,rebut,rekam,renggut,rompak,sambar,samun,sapu,sedut,sentak,tangkap,tarik,terima,tiru",,
ambisi,"gairah,hasrat,intensi,keinginan,kemauan,nafsu,pretensi,target,tekad",,,
ambivalen,,,"bercabang,mendua,terpecah",
amblas,,"gaib,hanyut,hilang,lelap,lenyap,lulus,menggelap,menguap,,meresap,musnah,pupus,terbang,",,
